A-5C,J79-GE-8C,Military power (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,103.2,102.2,104.6,107.6,108.4,109.6,107.2,106.4,109.6,109.6,116,118.6,121.2,115.8,110.3,102.4,95.7,89,82.4
250,101.1,100.1,102.5,105.5,106.3,107.5,105,104.3,107.5,107.5,113.9,116.5,119.1,113.7,108.2,100.3,93.6,86.9,80.3
315,98.9,97.9,100.3,103.3,104.2,105.3,102.9,102.1,105.3,105.3,111.7,114.4,117,111.7,106.1,98.2,91.5,84.8,78.2
400,96.7,95.7,98.1,101.2,102,103.1,100.7,99.9,103.1,103.1,109.5,112.3,114.9,109.6,104,96.1,89.4,82.7,76.1
500,94.4,93.5,95.9,98.9,99.7,100.9,98.5,97.7,100.9,100.8,107.3,110.1,112.7,107.5,101.9,93.9,87.2,80.5,73.9
630,92.1,91.2,93.7,96.7,97.5,98.6,96.2,95.4,98.6,98.5,105,107.9,110.6,105.3,99.7,91.7,85.1,78.4,71.7
800,89.8,88.9,91.4,94.4,95.1,96.2,93.9,93,96.2,96.1,102.7,105.7,108.4,103.2,97.5,89.5,82.8,76.1,69.5
1000,87.4,86.6,89.1,92,92.8,93.8,91.5,90.6,93.8,93.7,100.3,103.4,106.1,101,95.3,87.3,80.6,73.9,67.3
1250,84.9,84.2,86.7,89.5,90.3,91.3,89,88.1,91.3,91.2,97.8,101,103.8,98.7,93,84.9,78.2,71.5,64.9
1600,82.3,81.7,84.2,87,87.7,88.8,86.5,85.6,88.8,88.6,95.3,98.6,101.5,96.5,90.7,82.6,75.9,69.2,62.6
2000,79.7,79.1,81.6,84.4,85.1,86.1,83.8,82.9,86.1,85.9,92.7,96.1,99.1,94.2,88.4,80.1,73.4,66.7,60.1
2500,77,76.4,78.9,81.6,82.3,83.3,81.1,80.1,83.3,83.2,90,93.5,96.6,91.8,85.9,77.6,70.9,64.2,57.6
3150,74.1,73.6,76.1,78.7,79.3,80.3,78.2,77.2,80.4,80.3,87.1,90.8,94,89.3,83.4,74.9,68.2,61.5,54.9
4000,71.1,70.6,73.2,75.7,76.2,77.2,75.2,74.2,77.3,77.2,84.2,88,91.3,86.8,80.8,72.1,65.4,58.7,52.1
5000,68,67.5,70.1,72.5,72.9,73.9,72,71,74.1,74.1,81,85,88.5,84.2,78.2,69.2,62.5,55.8,49.2
6300,64.7,64.3,66.8,69,69.4,70.3,68.6,67.7,70.7,70.8,77.7,81.9,85.6,81.5,75.4,66.2,59.5,52.8,46.2
8000,61.2,60.8,63.2,65.4,65.7,66.5,65,64.1,67.1,67.3,74.3,78.7,82.6,78.7,72.5,63,56.3,49.6,43
10000,57.5,57.2,59.5,61.6,61.6,62.5,61.2,60.4,63.2,63.7,70.6,75.2,79.3,75.7,69.5,59.6,52.9,46.2,39.6
12500,53.6,53.3,55.5,57.4,57.4,58.1,57.1,56.5,59.1,59.8,66.6,71.5,75.9,72.6,66.4,56.1,49.4,42.7,36.1
16000,49.5,49.2,51.2,53.1,52.8,53.4,52.8,52.3,54.8,55.8,62.5,67.7,72.3,69.3,63.1,52.5,45.8,39.1,32.5
20000,45.1,44.9,46.7,48.5,48,48.5,48.2,48,50.2,51.5,58,63.5,68.4,65.8,59.6,48.8,42.1,35.4,28.8
25000,40.3,40.5,41.9,43.6,43.1,43.3,43.4,43.4,45.3,47.1,53.3,59.1,64.3,62.1,55.9,45,38.3,31.6,25
