A-5C,J79-GE-8C,Engine runup (80% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,102.3,102.1,105.8,103.9,100.6,101,99.2,98.1,99.1,97.5,102.2,101.3,98.3,98.9,96.8,84.8,78.1,71.4,64.8
250,100.1,100,103.7,101.8,98.4,98.9,97.1,96,97,95.4,100.2,99.2,96.2,96.8,94.7,82.8,76.1,69.4,62.8
315,97.9,97.8,101.6,99.6,96.2,96.7,95,93.9,95,93.4,98.1,97.2,94.2,94.8,92.7,80.7,74,67.3,60.7
400,95.6,95.5,99.5,97.5,94,94.6,92.9,91.8,92.9,91.3,96,95.1,92.1,92.7,90.6,78.7,72,65.3,58.7
500,93.3,93.2,97.3,95.2,91.7,92.4,90.7,89.7,90.7,89.1,93.9,93,90,90.6,88.6,76.6,69.9,63.2,56.6
630,90.9,90.8,95.1,93,89.4,90.2,88.6,87.5,88.6,87,91.8,90.9,87.9,88.5,86.5,74.5,67.8,61.1,54.5
800,88.4,88.3,92.9,90.7,87,87.9,86.4,85.3,86.4,84.8,89.7,88.7,85.7,86.4,84.4,72.3,65.7,59,52.3
1000,85.8,85.8,90.6,88.3,84.5,85.6,84.1,83,84.2,82.6,87.5,86.5,83.6,84.3,82.2,70.2,63.5,56.8,50.2
1250,83,83.1,88.3,85.9,82,83.2,81.9,80.7,82,80.4,85.3,84.3,81.4,82.1,80.1,68,61.3,54.6,48
1600,80.1,80.4,86,83.5,79.4,80.8,79.5,78.4,79.7,78.1,83,82.1,79.1,79.9,77.8,65.8,59.1,52.4,45.8
2000,77.1,77.5,83.6,80.9,76.7,78.4,77.1,76,77.3,75.7,80.7,79.7,76.8,77.6,75.6,63.5,56.8,50.1,43.5
2500,73.8,74.5,81.1,78.4,74,75.8,74.7,73.5,74.8,73.3,78.2,77.3,74.4,75.2,73.2,61.2,54.5,47.8,41.2
3150,70.3,71.4,78.6,75.7,71.1,73.2,72.1,70.9,72.3,70.7,75.7,74.8,71.9,72.8,70.8,58.7,52,45.3,38.7
4000,66.6,68.3,75.9,72.9,68.2,70.5,69.5,68.2,69.6,68.1,73.1,72.2,69.3,70.2,68.3,56.2,49.5,42.8,36.2
5000,62.8,65,73.1,70.1,65.2,67.7,66.7,65.4,66.8,65.2,70.3,69.4,66.6,67.6,65.6,53.5,46.8,40.1,33.5
6300,59,61.7,70.2,67,62.1,64.7,63.7,62.3,63.8,62.3,67.3,66.5,63.7,64.7,62.8,50.7,44,37.3,30.7
8000,55.2,58.4,67,63.8,58.8,61.5,60.5,59.1,60.6,59.1,64.1,63.3,60.6,61.7,59.8,47.7,41,34.3,27.7
10000,51.4,54.8,63.6,60.4,55.2,58,57,55.6,57.1,55.6,60.7,59.9,57.3,58.4,56.6,44.5,37.8,31.1,24.5
12500,47.5,51,59.8,56.5,51.4,54.2,53.2,51.8,53.2,51.8,56.9,56.2,53.7,54.8,53.1,41,34.3,27.6,21
16000,43.4,46.9,55.6,52.3,47.1,49.9,48.9,47.6,49,47.7,52.7,52.1,49.9,50.9,49.4,37.3,30.6,23.9,17.3
20000,38.9,42.2,50.8,47.5,42.4,45.1,44.2,43,44.4,43.2,48.1,47.6,45.7,46.7,45.4,33.4,26.7,20,13.4
25000,33.9,37,45.3,42.1,37.2,39.8,38.8,37.9,39.2,38.3,43,42.7,41.2,42.2,41.2,29.3,22.6,15.9,9.3
