C-130E,T56-A-7,Low idle (625 C TIT),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,90.6,90.1,90.4,88.9,87.9,87.3,86.3,84.8,84.4,85.6,85.5,86.5,87.3,88,87.2,85.1,81.2,79.4,78.6
250,88.4,87.8,88,86.6,85.6,85.1,84.1,82.6,82.2,83.5,83.3,84.4,85.1,85.9,85,82.9,79.1,77.3,76.5
315,86,85.5,85.7,84.3,83.3,82.7,81.9,80.4,80,81.2,81.1,82.1,82.9,83.6,82.8,80.8,76.9,75.1,74.4
400,83.6,83.1,83.2,81.9,80.9,80.4,79.6,78.2,77.7,79,78.8,79.9,80.6,81.4,80.6,78.6,74.7,73,72.2
500,81.2,80.6,80.8,79.5,78.5,77.9,77.3,75.9,75.4,76.7,76.5,77.6,78.4,79.1,78.4,76.4,72.5,70.7,70
630,78.7,78.1,78.2,77,76,75.5,74.9,73.7,73.1,74.4,74.2,75.2,76.1,76.8,76.1,74.2,70.2,68.5,67.8
800,76.2,75.6,75.6,74.5,73.5,73,72.5,71.3,70.8,72,71.8,72.9,73.8,74.5,73.8,72,68,66.3,65.6
1000,73.7,73.1,73,72,71,70.4,70.1,69,68.4,69.6,69.5,70.5,71.4,72.1,71.5,69.7,65.7,64,63.3
1250,71.1,70.5,70.3,69.4,68.5,67.9,67.7,66.6,66,67.2,67.1,68,69,69.7,69.1,67.5,63.4,61.7,61
1600,68.6,68,67.7,66.9,65.9,65.3,65.2,64.2,63.6,64.8,64.6,65.6,66.6,67.3,66.8,65.2,61,59.3,58.7
2000,66.1,65.5,65.2,64.4,63.4,62.8,62.8,61.7,61.1,62.3,62.2,63.1,64.2,64.9,64.4,62.8,58.6,56.9,56.3
2500,63.6,63,62.6,61.8,60.9,60.2,60.2,59.2,58.6,59.8,59.7,60.5,61.7,62.4,61.9,60.4,56.2,54.5,53.9
3150,61.1,60.4,60,59.2,58.3,57.6,57.7,56.7,56.1,57.3,57.2,57.9,59.1,59.9,59.4,58,53.7,52,51.4
4000,58.5,57.8,57.4,56.6,55.7,55,55,54,53.4,54.7,54.6,55.3,56.5,57.3,56.9,55.4,51.1,49.4,48.9
5000,55.8,55.1,54.7,53.9,53,52.3,52.3,51.4,50.7,52.1,52,52.6,53.9,54.7,54.2,52.8,48.5,46.7,46.2
6300,53,52.3,51.9,51.1,50.2,49.5,49.4,48.6,48,49.4,49.4,49.8,51.1,51.9,51.4,50.1,45.7,43.9,43.4
8000,50.1,49.4,49,48.1,47.4,46.6,46.5,45.7,45.1,46.6,46.6,46.9,48.3,49.1,48.6,47.2,42.8,41,40.5
10000,47,46.3,46,45.1,44.3,43.5,43.5,42.7,42.1,43.8,43.8,43.8,45.3,46.1,45.5,44.1,39.8,37.9,37.4
12500,43.8,43.1,42.7,41.9,41.2,40.3,40.3,39.6,39.1,41,40.9,40.7,42.2,43,42.4,40.9,36.6,34.6,34.1
16000,40.4,39.8,39.3,38.5,37.9,36.9,36.9,36.4,35.9,38,37.9,37.4,39,39.7,39,37.5,33.2,31.1,30.7
20000,36.8,36.2,35.7,34.9,34.4,33.3,33.5,33.1,32.6,34.9,34.8,34,35.7,36.4,35.5,33.8,29.6,27.5,27.1
25000,33,32.3,31.8,31.1,30.7,29.5,29.8,29.6,29.2,31.7,31.5,30.4,32.2,32.9,31.8,29.9,25.7,23.6,23.3
