AV-8B,F402-RR-405,Approach (84% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,120,120,124.9,125,117.8,117.8,132.2,132.4
250,118.4,118.4,123.1,123.3,115.5,115.5,129.9,130
315,116.7,116.2,121.3,120.6,113.2,112.8,127.5,126.8
400,114.9,114,119.4,118.1,110.9,110,125,123.7
500,113.1,111.6,117.4,115.6,108.4,107,122.4,120.6
630,111.2,109.1,115.3,113,105.9,103.8,119.7,117.4
800,109.2,106.5,113.1,110.2,103.4,100.6,116.9,114
1000,107.1,103.8,110.8,107.2,100.7,97.3,114,110.4
1250,105,101,108.4,104.1,97.9,94,111,106.7
1600,102.7,98.6,105.8,101.3,95.1,91,107.8,103.3
2000,100.3,96.1,103,98.4,92.1,87.9,104.4,99.8
2500,97.9,93.7,99.9,95.3,89,84.9,100.7,96.1
3150,95.3,91.3,96.7,92.3,85.8,81.9,96.9,92.5
4000,92.6,89.1,93.3,89.3,82.5,79,93,89
5000,89.7,86.5,89.6,86.1,79.1,75.8,88.8,85.2
6300,86.8,83.7,86.4,82.5,75.5,72.5,85,81.1
8000,83.7,80.4,83,78.6,71.8,68.6,81,76.7
10000,80.4,76.7,79.4,74.1,68,64.3,77,71.7
12500,76.9,71.9,75.8,68.6,63.9,58.8,72.8,65.5
16000,73.3,66.5,72.1,63.3,59.7,52.9,68.4,59.7
20000,69.5,60.9,67.9,57.4,55.3,46.6,63.7,53.1
25000,65.5,54.9,63.5,50.4,50.7,40.1,58.7,45.6
