C-20,SPEYMK511-8,Cruise (6000 lbs.),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.7,104.7,111,111,101.5,101.5,116.5,116.6
250,103.2,103.2,109.4,109.4,99.3,99.3,114.3,114.3
315,101.6,100.3,107.7,107,97.2,95.8,112,111.4
400,100,97.7,106,104.5,94.9,92.6,109.7,108.2
500,98.3,95.2,104.2,102,92.7,89.6,107.3,105.1
630,96.6,92.7,102.2,99.3,90.4,86.4,104.7,101.8
800,94.8,90.1,100.2,96.4,88,83.3,102.1,98.4
1000,93,87.5,97.9,93.4,85.5,80.1,99.2,94.7
1250,91.1,85,95.5,90.2,83.1,76.9,96.2,90.9
1600,89.2,82.7,92.9,87.3,80.5,74.1,93,87.4
2000,87.1,80.5,90.6,84.3,77.9,71.2,90.1,83.8
2500,85,78.2,88.2,81.2,75.2,68.4,87.1,80.1
3150,82.8,76,85.8,78,72.4,65.5,84.1,76.3
4000,80.6,73.8,83,74.7,69.5,62.7,80.7,72.4
5000,78.1,71.3,80.1,71.3,66.5,59.6,77.2,68.4
6300,75.6,68.6,77.1,68,63.3,56.4,73.6,64.5
8000,72.9,65.6,74,64.7,60,52.8,69.9,60.6
10000,70,62.3,70.6,61,56.6,48.9,65.9,56.3
12500,67,58.2,67,56,52.9,44.1,61.8,50.8
16000,63.7,53.5,63.4,50.4,49,38.8,57.5,44.5
20000,60.2,48.5,59.3,43.5,45,33.2,52.8,37
25000,56.5,43.4,55,34.6,40.6,27.5,47.9,27.5
