F-5E,J85-GE-21,Takeoff (101% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,125.6,125.6,128.3,128.5,119.1,119.1,132.2,132.4
250,124,124,126.7,126.9,116.8,116.8,130,130.1
315,122.3,122.2,125,124.8,114.6,114.4,127.6,127.5
400,120.6,120.2,123.1,122.6,112.2,111.8,125.2,124.7
500,118.8,117.8,121.2,120.2,109.8,108.8,122.7,121.6
630,116.9,115.3,119.2,117.5,107.3,105.7,120.1,118.3
800,114.9,112.6,117.1,114.6,104.7,102.5,117.3,114.9
1000,112.8,110,114.7,111.6,102.1,99.2,114.4,111.3
1250,110.7,107.3,112.2,108.4,99.3,95.9,111.3,107.5
1600,108.4,105,109.5,105.7,96.4,93,108,104.1
2000,105.9,102.6,106.6,102.7,93.3,90,104.5,100.6
2500,103.3,100.2,103.7,99.8,90.1,87,100.9,97.1
3150,100.5,97.8,100.5,97,86.7,84,97.2,93.7
4000,97.4,95.5,96.9,94,83.1,81.1,93.1,90.2
5000,94.1,92.9,93,90.7,79.2,77.9,88.7,86.4
6300,90.6,90,88.7,87.2,75,74.4,83.9,82.4
8000,86.8,86.5,84,83.1,70.6,70.3,78.8,77.8
10000,82.7,82.3,79.5,78.3,65.9,65.5,73.7,72.6
12500,78.4,76.7,75.5,72,61.1,59.3,69.2,65.7
16000,74.1,70.4,71.3,65.1,56.1,52.4,64.4,58.1
20000,69.6,63.6,66.7,57.8,51,45,59.1,50.2
25000,65,56.6,61.6,49.8,45.9,37.4,53.4,41.6
