U-6,PT6A-25,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,88.1,88.1,92.4,92.7,84.8,84.8,101.4,101.6
250,86.6,86.6,90.9,91.2,82.8,82.8,99.2,99.5
315,85.2,82.7,89.3,88.2,80.7,78.3,97.1,95.9
400,83.7,79,87.8,84.7,78.6,73.9,94.9,91.8
500,82.2,76.7,86.1,82.6,76.5,71.1,92.7,89.1
630,80.6,74.6,84.5,80.4,74.4,68.3,90.4,86.3
800,79.1,72.6,82.8,78,72.2,65.7,88.1,83.3
1000,77.5,70.5,81,75.5,70,63,85.7,80.2
1250,75.9,68.4,79,72.8,67.8,60.3,83.2,77
1600,74.2,66,77,69.7,65.5,57.4,80.6,73.3
2000,72.5,63.9,75,66.9,63.2,54.6,77.9,69.8
2500,70.7,61.5,72.8,63.6,60.8,51.6,75.1,65.9
3150,68.9,59.1,70.6,59.8,58.4,48.6,72.3,61.5
4000,66.9,56.7,67.7,55.5,55.8,45.6,68.8,56.6
5000,64.9,54.4,64.7,51.4,53.2,42.7,65.2,51.9
6300,62.8,52.2,61.6,47.6,50.5,39.9,61.5,47.5
8000,60.6,49.8,58.3,43.2,47.7,36.9,57.6,42.5
10000,58.2,47.2,54.9,38.5,44.7,33.7,53.6,37.2
12500,55.7,44,51.8,33.6,41.6,29.9,49.9,31.6
16000,53.1,40.6,48.4,28.3,38.4,26,45.9,25.8
20000,50.3,37.2,44.4,22.4,35,22,41.3,19.3
25000,47.3,33.9,39.7,15.5,31.5,18,36,11.8
