T-38,J85-GE-5,Military power A/B (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,62.7,61.3,61.3,57.7,59.4,58.3,58.3,55.9,59.1,59.1,58.8,61,63.8,66.6,69,70.2,74.4,78.3,83.3
250,60.6,59.2,59.2,55.6,57.3,56.2,56.2,53.8,57,57,56.7,58.9,61.7,64.5,67,68.2,72.3,76.2,81.3
315,58.5,57.1,57,53.5,55.1,54.1,54.1,51.8,54.9,54.9,54.6,56.8,59.6,62.4,64.9,66.1,70.3,74.1,79.2
400,56.4,54.9,54.9,51.3,53,51.9,51.9,49.6,52.7,52.7,52.5,54.6,57.5,60.3,62.9,64,68.2,72.1,77.1
500,54.2,52.8,52.7,49.2,50.8,49.8,49.8,47.5,50.5,50.5,50.4,52.5,55.4,58.1,60.8,61.8,66,69.9,75
630,52,50.6,50.5,47,48.5,47.6,47.6,45.3,48.3,48.3,48.2,50.3,53.2,55.9,58.7,59.7,63.9,67.8,72.9
800,49.8,48.3,48.2,44.7,46.2,45.3,45.3,43.1,46,46,46.1,48,51,53.7,56.6,57.4,61.7,65.6,70.8
1000,47.5,46,45.9,42.4,43.9,43,43,40.9,43.8,43.8,43.9,45.7,48.7,51.4,54.5,55.2,59.5,63.4,68.6
1250,45.2,43.7,43.5,40,41.4,40.6,40.6,38.6,41.4,41.4,41.6,43.4,46.4,49.1,52.3,52.9,57.2,61.1,66.3
1600,42.8,41.3,41.1,37.6,38.9,38.2,38.2,36.3,39.1,39.1,39.3,40.9,44,46.8,50.1,50.5,54.9,58.8,64
2000,40.3,38.8,38.5,35.1,36.3,35.7,35.7,33.9,36.7,36.7,37,38.4,41.6,44.3,47.9,48,52.4,56.4,61.7
2500,37.8,36.2,35.9,32.5,33.5,33,33,31.4,34.2,34.2,34.6,35.9,39,41.8,45.6,45.4,49.9,53.9,59.2
3150,35.1,33.5,33.2,29.8,30.7,30.3,30.3,28.9,31.7,31.7,32.1,33.2,36.4,39.1,43.2,42.7,47.3,51.3,56.7
4000,32.4,30.8,30.3,27,27.7,27.5,27.5,26.3,29.1,29.1,29.6,30.4,33.6,36.3,40.8,39.9,44.5,48.5,54
5000,29.5,27.9,27.4,24.2,24.7,24.5,24.5,23.6,26.4,26.4,26.9,27.5,30.6,33.4,38.4,36.8,41.6,45.6,51.2
6300,26.6,25,24.4,21.3,21.5,21.4,21.4,20.9,23.7,23.7,24.2,24.5,27.5,30.4,35.8,33.6,38.4,42.5,48.2
8000,23.6,22.1,21.4,18.4,18.4,18.2,18.2,18.2,20.9,20.9,21.5,21.4,24.3,27.1,33.1,30.1,35,39.1,45
10000,20.5,19,18.3,15.4,15.2,14.9,14.9,15.4,18,18,18.6,18.2,20.8,23.7,30.3,26.4,31.3,35.5,41.5
12500,17.3,15.9,15.1,12.4,12.1,11.6,11.6,12.6,15.1,15.1,15.7,14.9,17.2,20.1,27.3,22.3,27.3,31.6,37.7
16000,13.9,12.7,11.8,9.4,9,8.3,8.3,9.8,12.2,12.2,12.7,11.5,13.4,16.3,24.2,17.9,22.9,27.3,33.5
20000,10.4,9.4,8.4,6.2,5.8,5,5,7,9.1,9.1,9.7,7.9,9.4,12.3,20.8,13.1,18,22.5,28.9
25000,6.8,6,4.9,2.9,2.6,1.6,1.6,4,6,6,6.6,4.3,5.4,8.1,17.1,7.9,12.6,17.3,23.8
