A-3,J57-P-10,Idle (53% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,86.2,87.1,86.1,85.8,84.7,84.4,81.9,79.2,78.9,79.5,82,82.3,85.9,82.6,80.1,78.2,64.3,58.8,64.6
250,83.9,84.8,83.9,83.5,82.5,82.3,79.7,77,76.8,77.4,79.9,80.1,83.7,80.5,77.9,76,62.1,56.7,62.4
315,81.6,82.5,81.6,81.2,80.2,80.1,77.5,74.9,74.6,75.2,77.7,77.9,81.5,78.3,75.7,73.7,59.8,54.5,60.3
400,79.3,80.2,79.3,78.9,77.9,77.8,75.2,72.6,72.5,73,75.5,75.7,79.3,76.1,73.5,71.4,57.5,52.3,58.1
500,76.9,77.8,76.9,76.5,75.5,75.5,72.9,70.4,70.2,70.7,73.2,73.5,77,73.9,71.2,69.1,55.2,50,55.9
630,74.4,75.2,74.4,73.9,73,73.2,70.5,68.1,68,68.5,70.9,71.2,74.7,71.7,68.9,66.6,52.8,47.7,53.7
800,71.8,72.6,71.8,71.3,70.5,70.8,68.1,65.7,65.7,66.1,68.6,68.9,72.3,69.4,66.6,64.2,50.4,45.4,51.4
1000,69,69.9,69.1,68.6,67.8,68.3,65.5,63.3,63.4,63.8,66.2,66.5,69.9,67,64.2,61.6,47.9,43,49.1
1250,66.2,67,66.3,65.8,65,65.7,62.9,60.9,61,61.4,63.7,64.1,67.4,64.7,61.7,59,45.4,40.6,46.7
1600,63.2,63.9,63.4,62.8,62.1,63.1,60.2,58.3,58.6,58.9,61.3,61.7,64.8,62.2,59.2,56.4,42.8,38.2,44.3
2000,60,60.7,60.3,59.8,59,60.3,57.5,55.8,56.1,56.4,58.7,59.2,62.2,59.7,56.7,53.6,40.3,35.8,41.8
2500,56.7,57.3,57.1,56.7,55.8,57.3,54.7,53.1,53.6,53.9,56.1,56.6,59.5,57.2,54.1,50.8,37.7,33.3,39.3
3150,53.2,53.8,53.8,53.5,52.5,54.3,51.8,50.4,51,51.3,53.5,54,56.7,54.6,51.4,48,35.1,30.7,36.8
4000,49.5,50.2,50.4,50.3,49.2,51,48.9,47.6,48.3,48.6,50.8,51.3,53.9,51.9,48.7,45.1,32.4,28.2,34.2
5000,45.8,46.6,47,47,45.8,47.5,45.9,44.8,45.5,45.8,48,48.5,50.9,49.1,45.9,42.1,29.8,25.5,31.5
6300,42,43,43.4,43.7,42.4,43.8,42.8,41.8,42.6,42.8,45.1,45.6,47.9,46.2,42.9,39,27.1,22.8,28.8
8000,38.1,39.3,39.9,40.2,39,39.8,39.6,38.7,39.6,39.8,42,42.5,44.7,43.1,39.9,35.9,24.4,20.1,26.1
10000,34.2,35.5,36.3,36.6,35.4,35.7,36.3,35.5,36.4,36.5,38.8,39.3,41.4,39.9,36.7,32.7,21.6,17.2,23.2
12500,30.3,31.6,32.5,32.7,31.6,31.4,32.8,32,33,33,35.3,35.9,37.9,36.6,33.3,29.5,18.8,14.2,20.1
16000,26.3,27.5,28.5,28.6,27.7,27.1,29,28.3,29.3,29.3,31.6,32.3,34.2,33,29.8,26.1,15.9,11.1,17
20000,22.2,23.1,24.3,24.2,23.4,22.8,25,24.4,25.4,25.4,27.7,28.4,30.3,29.1,26.1,22.6,12.9,7.9,13.7
25000,17.8,18.6,19.8,19.7,18.9,18.4,20.8,20.2,21.2,21.2,23.4,24.3,26.2,25,22.2,19,9.7,4.6,10.2
