A-6A,J52-P-8A,Military power (99% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,109.7,113.9,114.9,115,115.6,116.6,116,116.7,116.6,119.4,122.7,125.8,129.7,109.7,104,99,94,89,84
250,107.5,111.8,112.8,112.9,113.4,114.5,113.8,114.5,114.4,117.2,120.5,123.6,127.6,107.6,101.8,96.8,91.8,86.8,81.8
315,105.4,109.6,110.6,110.7,111.2,112.3,111.6,112.3,112.2,115,118.4,121.5,125.4,105.5,99.7,94.7,89.7,84.7,79.7
400,103.2,107.5,108.4,108.5,109,110.1,109.3,110,109.9,112.7,116.2,119.3,123.2,103.3,97.5,92.5,87.5,82.5,77.5
500,101,105.3,106.2,106.3,106.8,107.8,106.9,107.7,107.6,110.4,113.9,117.1,121,101.1,95.3,90.3,85.3,80.3,75.3
630,98.7,103,103.9,104,104.5,105.5,104.5,105.3,105.2,108,111.7,114.8,118.8,98.8,93.1,88.1,83.1,78.1,73.1
800,96.4,100.8,101.6,101.7,102.2,103.1,102.1,102.8,102.7,105.5,109.3,112.5,116.5,96.5,90.8,85.8,80.8,75.8,70.8
1000,94.1,98.4,99.2,99.3,99.7,100.7,99.5,100.3,100.1,102.9,107,110.2,114.2,94.2,88.4,83.4,78.4,73.4,68.4
1250,91.7,96,96.8,96.9,97.2,98.1,96.9,97.6,97.5,100.3,104.5,107.8,111.8,91.7,86,81,76,71,66
1600,89.2,93.5,94.2,94.3,94.6,95.5,94.1,94.9,94.7,97.5,102,105.3,109.4,89.2,83.5,78.5,73.5,68.5,63.5
2000,86.6,91,91.6,91.7,91.9,92.7,91.3,92.1,91.9,94.6,99.4,102.8,106.8,86.7,81,76,71,66,61
2500,84,88.3,88.8,88.9,89.1,89.9,88.3,89.1,88.9,91.6,96.8,100.2,104.2,84,78.4,73.4,68.4,63.4,58.4
3150,81.2,85.5,85.9,86,86.2,86.8,85.2,85.9,85.7,88.5,94,97.5,101.6,81.3,75.6,70.6,65.6,60.6,55.6
4000,78.3,82.5,82.9,82.9,83,83.6,81.8,82.6,82.4,85.2,91.1,94.6,98.8,78.4,72.8,67.8,62.8,57.8,52.8
5000,75.2,79.4,79.6,79.6,79.7,80.2,78.3,79.1,78.9,81.7,88.1,91.7,95.8,75.5,69.8,64.8,59.8,54.8,49.8
6300,72,76,76.1,76.1,76.1,76.5,74.5,75.4,75.2,78.1,84.8,88.6,92.8,72.5,66.7,61.7,56.7,51.7,46.7
8000,68.5,72.4,72.4,72.3,72.2,72.6,70.5,71.4,71.3,74.3,81.4,85.4,89.5,69.4,63.5,58.5,53.5,48.5,43.5
10000,64.7,68.5,68.3,68.2,68,68.3,66.2,67.2,67.2,70.3,77.8,82,86.1,66.3,60.1,55.1,50.1,45.1,40.1
12500,60.6,64.2,63.9,63.7,63.4,63.7,61.7,62.7,63,66.2,74,78.3,82.4,63.1,56.6,51.6,46.6,41.6,36.6
16000,56.1,59.5,59,58.9,58.4,58.7,57,58,58.6,62,69.9,74.5,78.5,59.8,52.9,47.9,42.9,37.9,32.9
20000,51.1,54.3,53.7,53.6,53,53.4,52,53,54,57.5,65.5,70.4,74.3,56.4,49.2,44.2,39.2,34.2,29.2
25000,45.7,48.6,47.9,48.1,47.3,47.7,46.9,47.9,49.3,52.8,60.8,66.1,69.7,52.9,45.3,40.3,35.3,30.3,25.3
