F-35B,F-135-PW-600,AB Lim (130% ETR),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,115.6,116,118.6,119.9,120.7,120.7,121.2,122,122.6,123.8,126.2,131.3,132.2,128.8,125.8,122.3,114.8,108.1,101.5
250,113.5,113.9,116.5,117.8,118.5,118.6,119,119.8,120.4,121.6,124,129.2,130.1,126.7,123.8,120.2,112.7,106,99.4
315,111.4,111.8,114.4,115.6,116.4,116.4,116.8,117.6,118.2,119.4,121.8,127.1,127.9,124.6,121.6,118.1,110.6,103.9,97.2
400,109.3,109.7,112.3,113.5,114.2,114.2,114.6,115.3,115.9,117.1,119.6,124.9,125.8,122.4,119.5,116,108.5,101.8,95.1
500,107.1,107.5,110.1,111.3,112,112,112.3,113,113.6,114.8,117.4,122.7,123.6,120.2,117.4,113.9,106.3,99.6,92.9
630,104.9,105.3,107.9,109,109.7,109.7,110,110.7,111.2,112.4,115.1,120.5,121.4,118,115.2,111.7,104.1,97.4,90.7
800,102.7,103.1,105.6,106.8,107.4,107.3,107.6,108.3,108.8,110,112.7,118.3,119.2,115.8,113,109.5,101.9,95.2,88.5
1000,100.5,100.8,103.3,104.4,105,104.9,105.2,105.8,106.2,107.5,110.3,116,116.9,113.5,110.7,107.3,99.6,92.9,86.3
1250,98.2,98.5,101,102,102.6,102.4,102.7,103.2,103.6,104.9,107.8,113.6,114.6,111.2,108.5,105.1,97.3,90.6,84
1600,95.8,96.2,98.6,99.5,100.1,99.9,100.1,100.6,100.9,102.2,105.3,111.2,112.2,108.8,106.1,102.8,95,88.3,81.6
2000,93.4,93.7,96.1,97,97.6,97.2,97.4,97.8,98.1,99.5,102.7,108.8,109.8,106.4,103.8,100.4,92.6,85.9,79.2
2500,90.8,91.2,93.5,94.4,94.9,94.5,94.6,95,95.2,96.6,100,106.3,107.3,103.9,101.4,98.1,90.1,83.4,76.8
3150,88.2,88.6,90.8,91.6,92.2,91.6,91.8,92,92.2,93.7,97.2,103.7,104.8,101.4,98.9,95.6,87.6,80.9,74.3
4000,85.5,85.8,88,88.8,89.3,88.7,88.8,88.9,89,90.6,94.3,101,102.1,98.7,96.4,93.2,85,78.4,71.7
5000,82.7,83,85.1,85.8,86.3,85.6,85.7,85.6,85.7,87.5,91.4,98.3,99.4,96.1,93.7,90.6,82.4,75.7,69
6300,79.6,80,82,82.7,83.2,82.3,82.5,82.2,82.2,84.2,88.3,95.4,96.5,93.3,91,88,79.7,73,66.3
8000,76.5,76.8,78.7,79.4,79.9,78.8,79,78.7,78.6,80.8,85,92.3,93.5,90.4,88.2,85.2,76.9,70.2,63.5
10000,73.1,73.4,75.2,75.9,76.3,75.1,75.4,74.9,74.8,77.3,81.6,89.1,90.4,87.5,85.3,82.4,73.9,67.3,60.6
12500,69.4,69.8,71.5,72.1,72.6,71.2,71.5,71,70.8,73.6,77.9,85.7,87.1,84.4,82.3,79.5,70.9,64.2,57.5
16000,65.5,65.9,67.4,68,68.5,66.9,67.4,66.8,66.7,69.7,74,82,83.6,81.2,79.1,76.3,67.7,61,54.4
20000,61.3,61.7,63,63.6,64,62.3,62.9,62.4,62.3,65.6,69.8,78.1,79.9,77.8,75.7,73.1,64.4,57.7,51
25000,56.7,57.2,58.2,58.8,59.1,57.3,58,57.8,57.8,61.3,65.3,73.9,75.9,74.2,72.1,69.6,60.8,54.1,47.5
