E-2C,T56-A-427,Traffic pattern (1500 ISHP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,97.5,97.5,104.9,105.1,94.6,94.6,112.2,112.4
250,96.1,96.1,103.4,103.6,92.6,92.6,110.1,110.3
315,94.6,92.8,101.8,100.7,90.5,88.7,107.9,106.8
400,93.1,89.8,100.2,97.5,88.4,85.1,105.8,103.1
500,91.6,87.3,98.6,95.1,86.3,82,103.6,100
630,90.1,84.8,97,93.1,84.2,78.9,101.3,97.4
800,88.5,82.3,95.3,91,82,75.8,99,94.8
1000,86.9,79.9,93.5,89,79.8,72.8,96.7,92.2
1250,85.4,77.7,91.8,87.1,77.7,70,94.3,89.6
1600,83.7,75.7,89.9,85,75.4,67.4,91.8,86.9
2000,82.1,73.8,88,82.8,73.2,64.9,89.3,84.1
2500,80.4,71.8,86.1,80.5,70.9,62.3,86.8,81.2
3150,78.7,69.8,84.1,77.8,68.6,59.7,84.2,78
4000,77,67.4,81.6,74.3,66.3,56.7,81.1,73.9
5000,75.2,64.7,78.9,70.2,63.8,53.4,77.8,69.2
6300,73.3,62,76.1,66.1,61.4,50.1,74.5,64.4
8000,71.3,59.9,73.2,63,58.8,47.4,71,60.8
10000,69.3,57.7,70.2,59.7,56.2,44.6,67.4,56.9
12500,67.1,55.3,67.5,56.5,53.4,41.6,64.1,53.1
16000,64.8,53,64.6,53,50.5,38.7,60.6,49
20000,62.2,50.7,61.5,49.1,47.3,35.8,56.9,44.5
25000,59.5,48.5,58.1,44.6,44,33,52.9,39.4
