T-33A,J33-A-35,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,108.6,108.6,112.9,113.6,105.7,105.7,119.1,119.7
250,107,107,111.3,112,103.6,103.6,116.8,117.5
315,105.4,104.6,109.6,109.4,101.4,100.6,114.5,114.3
400,103.8,102.3,107.8,106.9,99.1,97.7,112.1,111.2
500,102.1,99.9,105.9,104.4,96.8,94.6,109.6,108.1
630,100.4,97.4,103.9,101.7,94.5,91.6,107,104.9
800,98.5,95,101.8,99,92.1,88.5,104.3,101.5
1000,96.7,92.5,99.6,96.1,89.6,85.4,101.5,98
1250,94.7,90,97.2,93.1,87.1,82.3,98.6,94.4
1600,92.7,87.8,94.8,90.4,84.4,79.5,95.5,91.1
2000,90.5,85.6,92.2,87.7,81.7,76.7,92.3,87.8
2500,88.3,83.4,89.4,85,78.8,73.9,88.9,84.5
3150,85.9,81.2,86.5,82.3,75.9,71.1,85.4,81.2
4000,83.5,79.1,83.6,79.3,72.8,68.4,82,77.8
5000,80.8,76.6,80.5,76,69.6,65.4,78.6,74.1
6300,78,74,77.5,72.4,66.2,62.2,75.1,70
8000,75.1,71,74.3,68.4,62.6,58.5,71.4,65.6
10000,71.9,67.5,70.9,64.2,58.9,54.4,67.6,60.9
12500,68.6,63,67.4,59.7,54.9,49.3,63.5,55.8
16000,65,57.9,63.6,54,50.8,43.7,59.1,49.5
20000,61.3,52.5,59.5,47.3,46.4,37.6,54.4,42.2
25000,57.3,46.8,54.9,38.9,41.8,31.3,49.2,33.2
