T-34,PT6A-25,Idle (60% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,75.5,69.2,68.1,72.1,71.8,72.4,69.3,72.2,69.3,68.2,67.1,67.9,67.4,67.8,66.4,68.3,67.3,64.9,55.7
250,73.2,67,65.9,69.8,69.5,70.1,67.1,70,67,66,64.9,65.7,65.2,65.7,64.3,66.2,65.2,62.8,53.5
315,70.8,64.8,63.7,67.4,67.2,67.9,65,67.8,64.8,63.8,62.7,63.5,63,63.5,62.2,64.1,63.1,60.7,51.2
400,68.4,62.6,61.4,65,64.8,65.5,62.8,65.5,62.4,61.5,60.5,61.3,60.8,61.3,60,62,60.9,58.6,49
500,65.8,60.3,59.1,62.5,62.3,63.1,60.6,63.2,60.1,59.2,58.2,59,58.5,59.1,57.9,59.8,58.7,56.4,46.7
630,63.2,58,56.7,59.9,59.7,60.6,58.3,60.8,57.6,56.8,55.8,56.7,56.2,56.9,55.7,57.7,56.5,54.3,44.4
800,60.6,55.7,54.2,57.3,57.1,58.1,56,58.4,55.1,54.4,53.4,54.3,53.8,54.6,53.5,55.5,54.3,52.1,42
1000,57.8,53.3,51.8,54.6,54.4,55.5,53.7,55.9,52.6,51.9,51,51.9,51.4,52.3,51.2,53.3,52,49.9,39.7
1250,55.1,50.9,49.2,51.8,51.7,52.9,51.3,53.4,50,49.4,48.6,49.5,49,50,49,51.1,49.7,47.6,37.3
1600,52.3,48.6,46.7,49,48.9,50.2,48.8,50.8,47.3,46.9,46.1,47.1,46.6,47.6,46.7,48.8,47.4,45.3,34.9
2000,49.6,46.2,44.1,46.3,46.1,47.4,46.3,48.2,44.6,44.3,43.6,44.6,44.2,45.3,44.4,46.5,45.1,43,32.4
2500,46.9,43.8,41.6,43.6,43.3,44.6,43.7,45.5,41.9,41.8,41.1,42.1,41.8,42.9,42.1,44.2,42.7,40.7,30
3150,44.2,41.4,39,40.9,40.5,41.8,41,42.8,39.2,39.2,38.6,39.7,39.3,40.5,39.7,41.8,40.3,38.3,27.5
4000,41.6,39,36.3,38.2,37.7,39,38.3,40,36.5,36.6,36.1,37.2,36.9,38,37.3,39.4,37.8,35.8,25
5000,39,36.4,33.6,35.6,34.9,36,35.4,37.1,33.7,33.9,33.6,34.7,34.4,35.6,34.9,36.9,35.3,33.3,22.4
6300,36.3,33.8,30.8,32.8,32,33,32.4,34.1,30.8,31.2,31,32.1,31.8,33,32.4,34.3,32.7,30.7,19.8
8000,33.4,31,27.9,30,29.1,29.9,29.3,30.9,27.9,28.5,28.2,29.5,29.2,30.3,29.7,31.6,30,28,17
10000,30.5,28.2,24.9,27.1,26,26.6,26,27.6,24.9,25.6,25.4,26.7,26.4,27.6,27,28.8,27.2,25.1,14.2
12500,27.4,25.1,21.7,24,22.9,23.2,22.5,24.1,21.8,22.6,22.4,23.8,23.5,24.6,24.1,25.7,24.2,22.1,11.2
16000,24,21.9,18.2,20.7,19.5,19.5,18.8,20.4,18.5,19.4,19.2,20.7,20.4,21.5,21,22.5,21.1,19,8
20000,20.4,18.4,14.6,17.1,16,15.7,14.9,16.5,14.9,15.9,15.8,17.4,17.1,18.1,17.6,18.9,17.6,15.6,4.7
25000,16.6,14.7,10.7,13.3,12.3,11.7,10.7,12.4,11.1,12.3,12.1,13.9,13.5,14.4,13.9,15,13.9,12,1.2
